date,time,gameID,releasetime,nGuided,nFree,hb,feederID_1,feederID_2,fd_1,fd_2,fd_3,fd_4,fd_5,fd_6,fd_7,fd_8,fd_9,fd_10,fd_11,fd_12,fd_side_1,fd_side_2,fd_side_3,fd_side_4,fd_side_5,fd_side_6,fd_side_7,fd_side_8,fd_side_9,fd_side_10,fd_side_11,fd_side_12,r_side_1,r_side_2,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,version,FileNumber,rat
20200414,112950,1,90,3,6,5,8,2,2,2,2,8,8,2,8,8,8,NaN,NaN,NaN,2,2,2,1,1,2,1,1,1,NaN,NaN,NaN,1,0,0,0,0,1,1,0,1,1,1,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,2,90,3,6,1,4,6,6,6,6,4,6,6,6,6,6,NaN,NaN,NaN,2,2,2,1,2,2,2,2,2,NaN,NaN,NaN,1,3,3,3,3,1,3,3,3,3,3,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,3,90,3,6,5,8,2,8,8,8,8,8,8,8,8,8,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,5,3,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,4,90,3,6,1,4,6,6,6,6,6,6,6,6,6,6,NaN,NaN,NaN,2,2,2,2,2,2,2,2,2,NaN,NaN,NaN,1,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,5,90,3,6,5,8,2,2,2,2,8,8,2,8,2,8,NaN,NaN,NaN,2,2,2,1,1,2,1,2,1,NaN,NaN,NaN,0,3,3,3,3,0,0,3,0,3,0,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,6,90,3,6,1,4,6,6,6,6,4,6,6,6,6,6,NaN,NaN,NaN,2,2,2,1,2,2,2,2,2,NaN,NaN,NaN,0,1,1,1,1,0,1,1,1,1,1,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,7,90,3,6,5,8,2,2,2,2,2,2,2,2,2,2,NaN,NaN,NaN,2,2,2,2,2,2,2,2,2,NaN,NaN,NaN,3,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,8,90,3,6,1,4,6,4,4,4,4,4,4,4,4,4,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,3,5,3,3,3,3,3,3,3,3,3,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,9,90,3,6,5,8,2,8,8,8,2,2,2,2,2,2,NaN,NaN,NaN,1,1,1,2,2,2,2,2,2,NaN,NaN,NaN,1,5,1,1,1,5,5,5,5,5,5,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,10,90,3,6,1,4,6,4,4,4,6,6,4,6,4,6,NaN,NaN,NaN,1,1,1,2,2,1,2,1,2,NaN,NaN,NaN,1,0,1,1,1,0,0,1,0,1,0,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,11,90,3,6,5,8,2,8,8,8,2,2,2,2,2,2,NaN,NaN,NaN,1,1,1,2,2,2,2,2,2,NaN,NaN,NaN,0,1,0,0,0,1,1,1,1,1,1,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,12,90,3,6,1,4,6,6,6,6,6,6,6,6,6,6,NaN,NaN,NaN,2,2,2,2,2,2,2,2,2,NaN,NaN,NaN,0,3,3,3,3,3,3,3,3,3,3,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,112950,13,90,3,6,5,8,2,2,2,2,2,2,2,8,0,NaN,NaN,NaN,NaN,2,2,2,2,2,2,1,NaN,NaN,NaN,NaN,NaN,1,5,5,5,5,5,5,5,1,NaN,NaN,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,1,90,3,6,5,8,2,2,2,2,2,2,2,2,2,2,NaN,NaN,NaN,2,2,2,2,2,2,2,2,2,NaN,NaN,NaN,0,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,2,90,3,6,1,4,6,6,6,6,6,6,6,6,6,6,NaN,NaN,NaN,2,2,2,2,2,2,2,2,2,NaN,NaN,NaN,1,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,3,90,3,6,5,8,2,2,2,2,2,8,2,2,2,8,NaN,NaN,NaN,2,2,2,2,1,2,2,2,1,NaN,NaN,NaN,0,3,3,3,3,3,0,3,3,3,0,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,4,90,3,6,1,4,6,6,6,6,4,4,4,4,4,4,NaN,NaN,NaN,2,2,2,1,1,1,1,1,1,NaN,NaN,NaN,3,1,1,1,1,3,3,3,3,3,3,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,5,90,3,6,5,8,2,8,8,8,2,2,2,2,2,2,NaN,NaN,NaN,1,1,1,2,2,2,2,2,2,NaN,NaN,NaN,1,5,1,1,1,5,5,5,5,5,5,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,6,90,3,6,1,4,6,6,6,6,4,4,4,4,4,4,NaN,NaN,NaN,2,2,2,1,1,1,1,1,1,NaN,NaN,NaN,3,0,0,0,0,3,3,3,3,3,3,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,7,90,3,6,5,8,2,2,2,2,2,2,2,2,2,2,NaN,NaN,NaN,2,2,2,2,2,2,2,2,2,NaN,NaN,NaN,0,3,3,3,3,3,3,3,3,3,3,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,8,90,3,6,1,4,6,6,6,6,4,4,4,4,4,4,NaN,NaN,NaN,2,2,2,1,1,1,1,1,1,NaN,NaN,NaN,3,1,1,1,1,3,3,3,3,3,3,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,9,90,3,6,5,8,2,8,8,8,2,2,2,2,2,2,NaN,NaN,NaN,1,1,1,2,2,2,2,2,2,NaN,NaN,NaN,1,5,1,1,1,5,5,5,5,5,5,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,10,90,3,6,1,4,6,4,4,4,4,4,4,4,4,4,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,5,0,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,11,90,3,6,5,8,2,2,2,2,2,8,2,2,2,2,NaN,NaN,NaN,2,2,2,2,1,2,2,2,2,NaN,NaN,NaN,3,1,1,1,1,1,3,1,1,1,1,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,12,90,3,6,1,4,6,4,4,4,6,4,4,4,6,6,NaN,NaN,NaN,1,1,1,2,1,1,1,2,2,NaN,NaN,NaN,1,3,1,1,1,3,1,1,1,3,3,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,13,90,3,6,5,8,2,2,2,2,8,2,8,2,2,8,NaN,NaN,NaN,2,2,2,1,2,1,2,2,1,NaN,NaN,NaN,1,0,0,0,0,1,0,1,0,0,1,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,14,90,3,6,1,4,6,6,6,6,4,4,6,6,6,6,NaN,NaN,NaN,2,2,2,1,1,2,2,2,2,NaN,NaN,NaN,0,1,1,1,1,0,0,1,1,1,1,NaN,NaN,NaN,0135_h6,1,Hachi
20200414,151614,15,90,3,6,5,8,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0135_h6,1,Hachi
20200415,93953,1,90,3,6,1,4,6,6,6,6,4,4,4,6,4,6,NaN,NaN,NaN,2,2,2,1,1,1,2,1,2,NaN,NaN,NaN,1,0,0,0,0,1,1,1,0,1,0,NaN,NaN,NaN,0135_h6,1,Hachi
20200415,93953,2,90,3,6,5,8,2,8,8,8,2,2,8,8,2,8,NaN,NaN,NaN,1,1,1,2,2,1,1,2,1,NaN,NaN,NaN,1,0,1,1,1,0,0,1,1,0,1,NaN,NaN,NaN,0135_h6,1,Hachi
