n_guided,n_free,feeders_1,feeders_2,drop_1,drop_2,is_guided_1,is_guided_2,is_guided_3,is_guided_4,is_guided_5,is_guided_6,is_guided_7,is_guided_8,is_guided_9,is_guided_10,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,releasetime_1,releasetime_2,filename,date,time,delaytime,folderdate,rat,foldername,n_games,str_date,str_time,datetime,version,homebase15
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,6,4,4,6,4,6,6,6,4,6,3,1,1,3,1,3,3,3,1,3,100,100,Game1,20201102,114948,0,110220,Bobo  ,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Bobo/RawData/110220  ,57,20201102,114948,02-Nov-2020 11:49:48,ee_alterhb,1
4,6,2,8,3,1,1,1,1,1,0,0,0,0,0,0,2,8,2,8,2,2,2,2,8,2,3,1,3,1,3,3,3,3,1,3,100,100,Game1,20201102,114948,0,110220,Bobo  ,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Bobo/RawData/110220  ,57,20201102,114948,02-Nov-2020 11:49:48,ee_alterhb,2
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,4,6,4,4,6,4,6,6,6,6,1,3,1,1,3,1,3,3,3,3,100,100,Game1,20201104,122023,0,110420,Bobo  ,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Bobo/RawData/110420  ,95,20201104,122023,04-Nov-2020 12:20:23,ee_alterhb,1
4,6,2,8,1,3,1,1,1,1,0,0,0,0,0,0,8,2,2,2,2,2,8,2,2,8,3,1,1,1,1,1,3,1,1,3,100,100,Game1,20201104,122023,0,110420,Bobo  ,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Bobo/RawData/110420  ,95,20201104,122023,04-Nov-2020 12:20:23,ee_alterhb,2
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,4,6,6,6,1,1,1,3,3,3,1,3,3,3,100,100,Game1,20201104,122023,0,110420,Bobo  ,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Bobo/RawData/110420  ,95,20201104,122023,04-Nov-2020 12:20:23,ee_alterhb,1
4,6,2,8,1,3,1,1,1,1,0,0,0,0,0,0,8,2,8,2,8,8,8,8,8,8,3,1,3,1,3,3,3,3,3,3,100,100,Game1,20201104,122023,0,110420,Bobo  ,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Bobo/RawData/110420  ,95,20201104,122023,04-Nov-2020 12:20:23,ee_alterhb,2
4,6,4,6,3,1,1,1,1,1,0,0,0,0,0,0,6,6,6,4,6,6,6,6,6,6,1,1,1,3,1,1,1,1,1,1,100,100,Game1,20201105,113420,0,110520,Bobo  ,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Bobo/RawData/110520  ,82,20201105,113420,05-Nov-2020 11:34:20,ee_alterhb,1
4,6,2,8,3,1,1,1,1,1,0,0,0,0,0,0,2,8,2,8,8,8,2,8,8,8,3,1,3,1,1,1,3,1,1,1,100,100,Game1,20201105,113420,0,110520,Bobo  ,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Bobo/RawData/110520  ,82,20201105,113420,05-Nov-2020 11:34:20,ee_alterhb,2
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,6,6,6,4,4,6,4,6,4,4,3,3,3,1,1,3,1,3,1,1,100,100,Game1,20201105,113420,0,110520,Bobo  ,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Bobo/RawData/110520  ,82,20201105,113420,05-Nov-2020 11:34:20,ee_alterhb,1
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,6,4,6,4,6,4,4,4,4,6,3,1,3,1,3,1,1,1,1,3,100,100,Game1,20201106,120852,0,110620,Bobo  ,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Bobo/RawData/110620  ,164,20201106,120852,06-Nov-2020 12:08:52,ee_alterhb,1
