filename,subjectID,date,time,gameNumber,trueMean_1,trueMean_2,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,reward_1,reward_2,reward_3,reward_4,reward_5,reward_6,reward_7,reward_8,reward_9,reward_10,timeBanditOn_1,timeBanditOn_2,timeBanditOn_3,timeBanditOn_4,timeBanditOn_5,timeBanditOn_6,timeBanditOn_7,timeBanditOn_8,timeBanditOn_9,timeBanditOn_10,timeKeyPress_1,timeKeyPress_2,timeKeyPress_3,timeKeyPress_4,timeKeyPress_5,timeKeyPress_6,timeKeyPress_7,timeKeyPress_8,timeKeyPress_9,timeKeyPress_10,timeRewardOn_1,timeRewardOn_2,timeRewardOn_3,timeRewardOn_4,timeRewardOn_5,timeRewardOn_6,timeRewardOn_7,timeRewardOn_8,timeRewardOn_9,timeRewardOn_10
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,23,4,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,27878.797102758,27879.431121871,27880.165344205,27881.048756846,27881.516625939,27881.984208737,27882.450924215,27882.935177822,27883.301444609,27883.685222954,27879.133428448,27879.852777463,27880.749178775,27881.189198803,27881.644615909,27882.108623127,27882.58858439,27882.956590435,27883.324783984,27883.693104198,27879.347783798,27880.081402251,27880.965606412,27881.416402182,27881.866934582,27882.333651462,27882.818392693,27883.184277391,27883.568627021,27883.93566782
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,24,4,2,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27885.77141566,27886.689134885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27886.381446924,27887.029012424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27886.605976732,27887.25672157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,25,1,4,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27888.641257893,27889.392064295,27890.109680424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27889.09344227,27889.797458577,27890.653231069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27889.30903036,27890.026169402,27890.877535857,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,26,4,5,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27892.261886202,27892.996572338,27893.829703088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27892.700871388,27893.532536948,27893.853483968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27892.911561696,27893.745606539,27894.080856053,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,27,2,5,2,2,2,2,2,2,NaN,NaN,NaN,NaN,5,5,5,5,5,5,NaN,NaN,NaN,NaN,27895.465549115,27896.166300016,27896.950498391,27897.284000785,27897.617371024,27897.968026355,NaN,NaN,NaN,NaN,27895.868671435,27896.653046345,27896.981446192,27897.292933432,27897.621049377,27898.132588825,NaN,NaN,NaN,NaN,27896.082331365,27896.866222656,27897.199753983,27897.517666117,27897.851244772,27898.368581176,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,28,3,3,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27899.770163042,27900.571034022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27900.2694695,27901.021380139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27900.487220659,27901.238299205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,29,1,4,2,1,2,2,2,2,NaN,NaN,NaN,NaN,4,1,4,4,4,4,NaN,NaN,NaN,NaN,27902.623241713,27903.324185723,27904.058161165,27904.709038479,27905.04248688,27905.492702143,NaN,NaN,NaN,NaN,27903.021124097,27903.757438211,27904.404838312,27904.717009973,27905.148672217,27905.637430548,NaN,NaN,NaN,NaN,27903.240340314,27903.973797055,27904.625802766,27904.943016975,27905.375569483,27905.876511849,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,30,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,27907.278596383,27908.229240634,27909.130654203,27910.081057233,27910.414398917,27910.865330286,27911.36585226,27911.849931375,27912.216793617,27912.717304662,27907.925331339,27908.828772658,27909.772967518,27910.084696247,27910.524687578,27911.012546721,27911.500728372,27911.861018919,27912.364538715,27912.732486022,27908.146012292,27909.046876699,27909.998411035,27910.315403884,27910.748357076,27911.249774577,27911.733288622,27912.100791071,27912.601122004,27912.966783101
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,31,4,3,2,1,1,1,1,1,NaN,NaN,NaN,NaN,3,4,4,4,4,4,NaN,NaN,NaN,NaN,27914.753424721,27915.621230863,27916.271794896,27917.02190596,27917.371715659,27917.738943968,NaN,NaN,NaN,NaN,27915.316545901,27915.972667764,27916.717413663,27917.060897915,27917.389074306,27918.32456199,NaN,NaN,NaN,NaN,27915.537831416,27916.188185769,27916.939078573,27917.289367306,27917.623403349,27918.557129641,NaN,NaN,NaN,NaN
OneShotActive_behavior_104_20191007T170303.mat,104,20191007,17:03:03,32,2,2,2,1,2,1,2,1,NaN,NaN,NaN,NaN,2,2,2,2,2,2,NaN,NaN,NaN,NaN,27919.959193756,27920.693295591,27921.42740757,27922.261195971,27922.794147652,27923.295208363,NaN,NaN,NaN,NaN,27920.396899199,27921.117495662,27921.949458655,27922.47736915,27922.957308131,27923.444826596,NaN,NaN,NaN,NaN,27920.609073323,27921.344227577,27922.17784687,27922.712042609,27923.178538258,27923.678914718,NaN,NaN,NaN,NaN
